temp,k,A,kappa,rho_l_pred,rho_g_pred,rho_l_calc,rho_g_calc,p_l,p_g,delta_p,radius,sigma,interface,spurious_current
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.78476,0.83698,0.31071013,0.2870909,0.023619235,29.917840075855693,0.7066364823376511,4.3708363030476,0.0016465349
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.992548286678467,1.7876951865362207e-06,5.431661290300443,0.05211064
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8053083,0.84853375,0.3349151,0.28975785,0.045157254,28.60923523757888,1.2919144949941543,12.383731108551824,0.004874538
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8231735,0.88109106,0.35643032,0.29708984,0.059340477,27.658012641934324,1.6412396627608103,11.99095375489702,0.004810544
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.833129,0.9114558,0.36867705,0.30368534,0.06499171,26.821389631874144,1.74316804568785,11.91796350173356,0.0025751328
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.839158,0.91073346,0.37617117,0.30353114,0.07264003,26.547870533125185,1.9284381538059312,12.032154689469195,0.0005854476
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8393493,0.9025203,0.37640908,0.30176872,0.07464036,26.685734401519184,1.9918329147881513,11.985012898354558,0.00046731028
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.839212,0.9084985,0.3762364,0.30305326,0.07318315,26.77275647805131,1.959314629133817,11.98046430087259,0.00054158294
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.838587,0.8972133,0.3754562,0.30062085,0.07483536,26.88098432284697,2.011648140304073,11.94007132925493,0.00020381679
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8377466,0.9021098,0.37441146,0.3016802,0.07273126,26.88249494247866,1.955197634617737,11.941115744504941,0.00015642104
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.838093,0.9006056,0.3748425,0.30135542,0.07348707,26.87800435645044,1.9751858731570706,11.942081686920712,0.0001463757
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8378224,0.90079033,0.37450305,0.30139533,0.07310772,26.865176866829724,1.9640518125861166,11.93992153572826,0.00010903401
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380604,0.9021709,0.3748012,0.30169338,0.07310781,26.854020848833134,1.9632386224891223,11.943418828016672,5.662483e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380594,0.9008169,0.37479898,0.30140108,0.073397905,26.859132383285758,1.9714040372331663,11.940977956026455,5.7597204e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380346,0.901908,0.37476882,0.3016367,0.07313213,26.856298692499077,1.9640582607869606,11.942713072055277,5.7371868e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380914,0.90111244,0.37483934,0.30146492,0.07337442,26.861473976779365,1.9709450842549783,11.941865714560844,5.7338937e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380184,0.9014585,0.37474918,0.30153966,0.073209524,26.861134044505075,1.9664908416528373,11.941906022538817,5.791479e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.838057,0.90139675,0.3747962,0.3015263,0.0732699,26.861909614658313,1.968169529584822,11.942235287404866,5.7682802e-05
